transcript_id	value_1	value_2	value_3	log2FC	p_value	DEI	sample_pair	Gene_Id
ENST00000254998	0.153420657	0.149165501	0.144181063	0.368904496	0.000317333	non-DEI	D5/D6	D5-NXT1
ENST00000237853	0.406141984	0.407767891	0.415213155	-1.336073685	2.04728E-06	down-regulate	D5/D6	D5-ELL2
ENST00000292174	0.013610674	0.013154197	0.012787046	-2.633508154	1.02522E-05	down-regulate	D5/D6	D5-CXCR5
ENST00000257575	0.031973574	0.033458453	0.033522344	0.827740443	0.000119207	non-DEI	D5/D6	D5-RNFT2
ENST00000246070	0.014902516	0.015437756	0.014286518	-2.028327137	8.06025E-08	down-regulate	D5/D6	D5-LAMP5
ENST00000227507	0.018031284	0.019459391	0.057135268	-0.910319335	0.161865494	non-DEI	D5/D6	D5-CCND1
ENST00000229238	0.523681308	0.451216135	0.455991482	-0.053976291	0.634313086	non-DEI	D5/D6	D5-MRPL51
ENST00000355897	0.448794735	0.442711883	0.428670413	0.31396455	0.000286764	non-DEI	D5/D6	D5-GPR160
ENST00000378024	0.17598223	0.192211129	0.196046678	0.989850012	0.000200015	non-DEI	D5/D6	D5-AHNAK
ENST00000312960	0.347021933	0.329708591	0.353618368	0.892308865	0.000139556	non-DEI	D5/D6	D5-SIAH2
ENST00000243347	7.59681E-05	0.000104412	9.62435E-05	-2.252392152	1.59556E-05	down-regulate	D5/D6	D5-TNFAIP6
ENST00000368468	0.230031877	0.235526207	0.232638234	-0.45448696	0.412371223	non-DEI	D5/D6	D5-MAN1A1
ENST00000339992	0.127620671	0.120762859	0.122943596	1.789408501	1.87641E-06	up-regulate	D5/D6	D5-HMX2
ENST00000216115	0.117726055	0.111663732	0.100782945	0.616381604	0.014796681	non-DEI	D5/D6	D5-BIK
ENST00000361624	232.2225899	180.8116051		0.450769348	0.273930628	non-DEI	D5/D6	D5-MT-CO1
ENST00000276914	0.200178305	0.201100612	0.213986948	-0.586011818	4.60654E-05	non-DEI	D5/D6	D5-PLIN2
ENST00000313683	0.007269041	0.006802926	0.006744832	-0.907921608	0.001481886	non-DEI	D5/D6	D5-PNMA8A
ENST00000299572		0.028616094	0.030020046	0.517578351	0.017232021	non-DEI	D5/D6	D5-CENPN
ENST00000334512	0.047884534	0.046509691	0.050082038	0.825131305	4.3514E-05	non-DEI	D5/D6	D5-ZMIZ1
ENST00000376759	0.065269269	0.065214928	0.06795501	0.175273892	0.016893699	non-DEI	D5/D6	D5-RBM3
ENST00000264433	0.062735441	0.061370051	0.070340799	-1.040620252	0.000352506	down-regulate	D5/D6	D5-FNIP2
ENST00000254799	0.030916277	0.028898308	0.031977421	0.069695119	0.250079002	non-DEI	D5/D6	D5-GRSF1
ENST00000588361	0.014117777	0.014944344	0.014588103	-0.444166261	0.090661185	non-DEI	D5/D6	D5-KDM4B
ENST00000322128	0.117455703	0.125837684	0.11510858	0.917768669	0.000121574	non-DEI	D5/D6	D5-TSPYL5
